Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ccba1cf3acd581f9753873ba4e7c09a1052af5cb7a86302d7363c2c0cbc89624,2019-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9664a2b018a20c2a31a2c5b828f1ed4cd0cb9e83dccd1ff7afbdceff71f2ee15,2019-08,City of London Police,City of London Police,-0.078393,51.515728,On or near CLOTHIER STREET,E01000005,City of London 001E,Investigation complete; no suspect identified
6a217944d21cb01f2c48aab2ba245ffe9744a0fc3f38556d9bf71838f688a3a8,2019-08,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Investigation complete; no suspect identified
ef006b5ac0d473d059da54cd5036a5eeade0fe21959168dd9c5d054e886e8d29,2019-08,City of London Police,City of London Police,-0.101055,51.513552,On or near CREED LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
4e4104026a4de31332a70e17cfcc5dd0f0fec8161e6565426b2074c727c875f4,2019-08,City of London Police,City of London Police,-0.082458,51.517431,On or near LIVERPOOL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
6beff7f069a2627f4b7358d5e0d6fdf672e369f8f29017e2a62a87cf9336346f,2019-08,City of London Police,City of London Police,-0.084199,51.513394,On or near CORNHILL,E01032739,City of London 001F,Unable to prosecute suspect
aae84d9950ff3bd35dd3af8d69d3cd9a3f1b9af34cf4fccf7f769d2273cf6278,2019-08,City of London Police,City of London Police,-0.084983,51.510494,On or near Supermarket,E01032739,City of London 001F,Investigation complete; no suspect identified
9d3c9e23ee13a74f6e55b87eaa70a01aa20996a3c8ef3e8b802660a60a456749,2019-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5ebdb0c36cea4f46c3f2e7e42c490abd4162335ab42ef727d4d57c822d63751f,2019-08,City of London Police,City of London Police,-0.094464,51.512959,On or near WATLING COURT,E01032739,City of London 001F,Investigation complete; no suspect identified
4814787e6d08d6011e996a5a353ebcd371c71bdc4b500583572ec1f5aded2314,2019-08,City of London Police,City of London Police,-0.091151,51.514992,On or near GRESHAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
3924390e68137a3347cb0f5d128b91723a4f141b929ab4a1650aaf98a6e41b8e,2019-08,City of London Police,City of London Police,-0.080389,51.512820,On or near BILLITER STREET,E01032739,City of London 001F,Local resolution
4f2eeb3303725e457535c5903cde8d94b69862edf5f38c6e7356484328335e98,2019-08,City of London Police,City of London Police,-0.060411,51.524091,On or near BRADY STREET,E01004211,Tower Hamlets 013D,Offender given penalty notice
9ce17621fd76d4ae970427fee3065c0143849d8dafd330e6c070c44bcf9d9f56,2019-08,City of London Police,City of London Police,-0.080034,51.513389,On or near LEADENHALL STREET,E01032739,City of London 001F,Suspect charged
a50c0d5d58f96ec1d18d5365634d8f4594b3fcd8ea9a5a0c789c9c0d5e61e872,2019-08,City of London Police,City of London Police,-0.076113,51.511014,On or near Conference/Exhibition Centre,E01000005,City of London 001E,Suspect charged
d16a89aad5a0cbe26c10249467b0a45d654ae0620315b3da566bafccb96fd1cd,2019-08,City of London Police,City of London Police,-0.070912,51.511657,On or near PRESCOT STREET,E01032767,Tower Hamlets 021F,Suspect charged
00eb97154394dcf9c2d1f3da5253c0160c9e3c9cd7112fc8b1876090a1ba83b7,2019-08,City of London Police,City of London Police,-0.070912,51.511657,On or near PRESCOT STREET,E01032767,Tower Hamlets 021F,Suspect charged
fd63aeabf0a5a316fd789de850b1456bd34c04b0ab7b6301fa4be9e444b98bab,2019-08,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Suspect charged
c268d695156875472fe12e8bcab3ce1d9719564361ac30fcba2f653625eb62d7,2019-08,City of London Police,City of London Police,-0.088013,51.519365,On or near ROPEMAKER STREET,E01032739,City of London 001F,Suspect charged
6adff29e407588d1eac4352ceefc6fee342987c997e635508b6cf1e54961394f,2019-08,City of London Police,City of London Police,,,No location,,,Suspect charged
1c8debeabfb761976fff983f824eb5f388e3418fa8599e1cd7f529215e6f5498,2019-08,City of London Police,City of London Police,-0.105134,51.513869,On or near BRIDE LANE,E01032740,City of London 001G,Suspect charged
bc4419a4e5d64ebd491a0c3f4d68d8feea7c4adfff754e748a5905625aed0237,2019-08,City of London Police,City of London Police,-0.078484,51.517680,On or near CATHERINE WHEEL ALLEY,E01032739,City of London 001F,Suspect charged
1b4bf2ef539b765ee3f8a5506abe00d8b89f280fccf47c728c0a738163cacfed,2019-08,City of London Police,City of London Police,-0.105900,51.516966,On or near PLUMTREE COURT,E01032740,City of London 001G,Suspect charged
dd3117c7dc31118ec4b78ce0b286ea050157fd8655cb6eb60709a8bd1564752f,2019-08,City of London Police,City of London Police,-0.088042,51.511794,On or near ABCHURCH LANE,E01032739,City of London 001F,Suspect charged
f07d1f5109493aad12f03e9db3d4f1044c07325e3b0737df6e6ce54808c2c7b4,2019-08,City of London Police,City of London Police,-0.074793,51.511208,On or near Pedestrian Subway,E01000005,City of London 001E,Suspect charged
1fce66a9d4e35702ef9ae2f80f4311506d23fc7cf6bfb9d473b2e85c532ef045,2019-08,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
556ce92b4944e5a479ab03a32b7e85d7209dbf1df6e8973c4f6ac254355ed647,2019-08,City of London Police,City of London Police,-0.086166,51.510828,On or near EASTCHEAP,E01032739,City of London 001F,Suspect charged
e3d3630d2372b4f029d51010d634961a64d9cdb9cbf0cb26d94a5eebdbac3e5b,2019-08,City of London Police,City of London Police,-0.096348,51.515472,On or near FOSTER LANE,E01000001,City of London 001A,Suspect charged
cadc1193dd473e2408b4c5f4300240b8a0fb5d48e6b8be4b2660a810835367bd,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
cadc1193dd473e2408b4c5f4300240b8a0fb5d48e6b8be4b2660a810835367bd,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
cadc1193dd473e2408b4c5f4300240b8a0fb5d48e6b8be4b2660a810835367bd,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
841b0f26bfe2dce3a5c2aa68e327cfcbfaab14d3d799e4945a80fa32f4f7ccc8,2019-08,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
8a2ce23b22e987e1e1e3ecc6e662cc55eb5979513a631ac73cecb4fa0f44dae4,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
8a2ce23b22e987e1e1e3ecc6e662cc55eb5979513a631ac73cecb4fa0f44dae4,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
51acc0f2077ea4619bcb4d46c7b9bef3230278d3060b3600a2af720f6a40d8fc,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
0dee6d1bf16e954628b481b14dee3f87d62554121b05127f7bc8caddd7e3b559,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
5be185e36012df3551aaba944cfabf884c08ea28d5b807001111e1548afe1106,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
